Old build artifact,AndroidX build artifact
com.android.support:design,com.google.android.material:material:1.0.0-rc01
com.android.support:documentfile,androidx.documentfile:documentfile:1.0.0
com.android.support:drawerlayout,androidx.drawerlayout:drawerlayout:1.0.0
com.android.support:exifinterface,androidx.exifinterface:exifinterface:1.0.0
com.android.support:gridlayout-v7,androidx.gridlayout:gridlayout:1.0.0
com.android.support:heifwriter,androidx.heifwriter:heifwriter:1.0.0
com.android.support:interpolator,androidx.interpolator:interpolator:1.0.0
com.android.support:leanback-v17,androidx.leanback:leanback:1.0.0
com.android.support:loader,androidx.loader:loader:1.0.0
com.android.support:localbroadcastmanager,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
com.android.support:media2,androidx.media2:media2:1.0.0-alpha03
com.android.support:media2-exoplayer,androidx.media2:media2-exoplayer:1.0.0-alpha01
com.android.support:mediarouter-v7,androidx.mediarouter:mediarouter:1.0.0
com.android.support:multidex,androidx.multidex:multidex:2.0.0
com.android.support:multidex-instrumentation,androidx.multidex:multidex-instrumentation:2.0.0
com.android.support:palette-v7,androidx.palette:palette:1.0.0
com.android.support:percent,androidx.percentlayout:percentlayout:1.0.0
com.android.support:preference-leanback-v17,androidx.leanback:leanback-preference:1.0.0
com.android.support:preference-v14,androidx.legacy:legacy-preference-v14:1.0.0
com.android.support:preference-v7,androidx.preference:preference:1.0.0
com.android.support:print,androidx.print:print:1.0.0
com.android.support:recommendation,androidx.recommendation:recommendation:1.0.0
com.android.support:recyclerview-selection,androidx.recyclerview:recyclerview-selection:1.0.0
com.android.support:recyclerview-v7,androidx.recyclerview:recyclerview:1.0.0
com.android.support:slices-builders,androidx.slice:slice-builders:1.0.0
com.android.support:slices-core,androidx.slice:slice-core:1.0.0
com.android.support:slices-view,androidx.slice:slice-view:1.0.0
com.android.support:slidingpanelayout,androidx.slidingpanelayout:slidingpanelayout:1.0.0
com.android.support:support-annotations,androidx.annotation:annotation:1.0.0
com.android.support:support-compat,androidx.core:core:1.0.0
com.android.support:support-content,androidx.contentpager:contentpager:1.0.0
com.android.support:support-core-ui,androidx.legacy:legacy-support-core-ui:1.0.0
com.android.support:support-core-utils,androidx.legacy:legacy-support-core-utils:1.0.0
com.android.support:support-dynamic-animation,androidx.dynamicanimation:dynamicanimation:1.0.0
com.android.support:support-emoji,androidx.emoji:emoji:1.0.0
com.android.support:support-emoji-appcompat,androidx.emoji:emoji-appcompat:1.0.0
com.android.support:support-emoji-bundled,androidx.emoji:emoji-bundled:1.0.0
com.android.support:support-fragment,androidx.fragment:fragment:1.0.0
com.android.support:support-media-compat,androidx.media:media:1.0.0
com.android.support:support-tv-provider,androidx.tvprovider:tvprovider:1.0.0
com.android.support:support-v13,androidx.legacy:legacy-support-v13:1.0.0
com.android.support:support-v4,androidx.legacy:legacy-support-v4:1.0.0
com.android.support:support-vector-drawable,androidx.vectordrawable:vectordrawable:1.0.0
com.android.support:swiperefreshlayout,androidx.swiperefreshlayout:swiperefreshlayout:1.0.0
com.android.support:textclassifier,androidx.textclassifier:textclassifier:1.0.0
com.android.support:transition,androidx.transition:transition:1.0.0
com.android.support:versionedparcelable,androidx.versionedparcelable:versionedparcelable:1.0.0
com.android.support:viewpager,androidx.viewpager:viewpager:1.0.0
com.android.support:wear,androidx.wear:wear:1.0.0
com.android.support:webkit,androidx.webkit:webkit:1.0.0
